TimeStamp,Millis,systemTime,Loadcell
2025-06-24T10:15:35.7325312-04:00,36935732.531199999,2712.1455040000001,24408.57
2025-06-24T10:15:35.7448576-04:00,36935744.857600003,2712.1575039999998,24585.860000000001
2025-06-24T10:15:35.7533696-04:00,36935753.369600005,2712.167488,25503.990000000002
2025-06-24T10:15:35.7656832-04:00,36935765.683200002,2712.1794880000002,26358.950000000001
2025-06-24T10:15:35.7779328-04:00,36935777.932800002,2712.1914879999999,26461.880000000001
2025-06-24T10:15:35.7901184-04:00,36935790.1184,2712.2034880000001,25319.169999999998
2025-06-24T10:15:35.8023808-04:00,36935802.380800001,2712.2154879999998,23584.060000000001
2025-06-24T10:15:35.8147328-04:00,36935814.732799999,2712.227488,22692.029999999999
2025-06-24T10:15:35.8269184-04:00,36935826.918400005,2712.2394880000002,23423.610000000001
2025-06-24T10:15:35.8391424-04:00,36935839.142400004,2712.2514879999999,24833.16
2025-06-24T10:15:35.8514560-04:00,36935851.456,2712.265504,26079.549999999999
2025-06-24T10:15:35.8636928-04:00,36935863.6928,2712.2775040000001,27021.130000000001
2025-06-24T10:15:35.8759040-04:00,36935875.903999999,2712.2895039999999,27127.740000000002
2025-06-24T10:15:35.8890240-04:00,36935889.024000004,2712.301504,26825.790000000001
2025-06-24T10:15:35.9005440-04:00,36935900.544,2712.3135040000002,26413.380000000001
2025-06-24T10:15:35.9127424-04:00,36935912.742400005,2712.3255039999999,25683.16
2025-06-24T10:15:35.9212544-04:00,36935921.2544,2712.3354880000002,25022.099999999999
2025-06-24T10:15:35.9335552-04:00,36935933.555200003,2712.3474879999999,24952.48
2025-06-24T10:15:35.9458688-04:00,36935945.868799999,2712.3594880000001,25331.650000000001
2025-06-24T10:15:35.9618560-04:00,36935961.855999999,2712.3754880000001,25453.009999999998
2025-06-24T10:15:35.9704064-04:00,36935970.406400003,2712.3834879999999,25453.009999999998
2025-06-24T10:15:35.9825152-04:00,36935982.515200004,2712.3954880000001,25742.560000000001
2025-06-24T10:15:35.9949440-04:00,36935994.943999998,2712.4074879999998,26495.040000000001
2025-06-24T10:15:36.0071424-04:00,36936007.142400004,2712.419488,26935.790000000001
2025-06-24T10:15:36.0193152-04:00,36936019.315200001,2712.4335040000001,26648.040000000001
2025-06-24T10:15:36.0316544-04:00,36936031.654399998,2712.4455039999998,26035.189999999999
2025-06-24T10:15:36.0439936-04:00,36936043.993600003,2712.457504,25922.48
2025-06-24T10:15:36.0561792-04:00,36936056.179200001,2712.4695040000001,26278.27
2025-06-24T10:15:36.0685184-04:00,36936068.518399999,2712.4815039999999,26398.799999999999
2025-06-24T10:15:36.0807680-04:00,36936080.767999999,2712.493504,26203.610000000001
2025-06-24T10:15:36.0929920-04:00,36936092.991999999,2712.5055040000002,25677.220000000001
2025-06-24T10:15:36.1052160-04:00,36936105.215999998,2712.5175039999999,25463.830000000002
2025-06-24T10:15:36.1174144-04:00,36936117.414400004,2712.5314880000001,25702.18
2025-06-24T10:15:36.1297024-04:00,36936129.702399999,2712.5434879999998,25701.049999999999
2025-06-24T10:15:36.1383680-04:00,36936138.368000001,2712.5514880000001,25624.959999999999
2025-06-24T10:15:36.1505152-04:00,36936150.515200004,2712.5634879999998,25435.189999999999
2025-06-24T10:15:36.1629440-04:00,36936162.943999998,2712.575488,25521.950000000001
2025-06-24T10:15:36.1751168-04:00,36936175.116800003,2712.5874880000001,26290
2025-06-24T10:15:36.1874560-04:00,36936187.456,2712.6015040000002,27035.860000000001
2025-06-24T10:15:36.1996288-04:00,36936199.628800005,2712.6135039999999,27115.560000000001
2025-06-24T10:15:36.2120192-04:00,36936212.019200005,2712.6255040000001,26807.139999999999
2025-06-24T10:15:36.2241536-04:00,36936224.1536,2712.6375039999998,26254.139999999999
2025-06-24T10:15:36.2364032-04:00,36936236.403200001,2712.649504,25750.150000000001
2025-06-24T10:15:36.2487168-04:00,36936248.716800004,2712.6615040000001,25785.639999999999
2025-06-24T10:15:36.2609280-04:00,36936260.928000003,2712.6735039999999,25899.77
2025-06-24T10:15:36.2731904-04:00,36936273.190400004,2712.685504,25784.209999999999
2025-06-24T10:15:36.2854272-04:00,36936285.427200004,2712.6994880000002,25616.619999999999
2025-06-24T10:15:36.2978048-04:00,36936297.804800004,2712.7114879999999,25237.369999999999
2025-06-24T10:15:36.3072640-04:00,36936307.263999999,2712.7215040000001,25148.419999999998
2025-06-24T10:15:36.3185920-04:00,36936318.592,2712.7314879999999,25473.529999999999
2025-06-24T10:15:36.3306496-04:00,36936330.649599999,2712.7434880000001,25851.580000000002
2025-06-24T10:15:36.3429120-04:00,36936342.912,2712.7554879999998,26322.41
2025-06-24T10:15:36.3551744-04:00,36936355.174400002,2712.767488,26430.150000000001
2025-06-24T10:15:36.3675008-04:00,36936367.500799999,2712.781504,26442.029999999999
