FrameCounter,SystemTimestamp,LedState,ComputerTimestamp,G0,G1
18488,2829.860864,1,37053470.6944,0.0532465226923726,0.0681188364888735
18489,2829.873376,2,37053483.0208,0.0203663267027046,0.0305892116919199
18490,2829.885856,1,37053495.7568,0.0533104323666995,0.0681410273480148
18491,2829.898368,2,37053508.0448,0.0203827479384692,0.0307711767368785
18492,2829.91088,1,37053520.5248,0.0532802527982673,0.0681463531542087
18493,2829.92336,2,37053533.2224,0.0203490178325744,0.0308239909816348
18494,2829.935872,1,37053545.4848,0.0532531799501149,0.0681450217026602
18495,2829.948352,2,37053558.0416,0.020365439068339,0.0307893732413744
18496,2829.960864,1,37053570.6112,0.0533064380120541,0.0682004988505135
18497,2829.973376,2,37053583.2448,0.0204488766987103,0.0308408560345822
18498,2829.985856,1,37053595.7632,0.0532727079061593,0.068140583530832
18499,2829.998368,2,37053608.1152,0.0203685457886188,0.0308426313033135
18500,2830.01088,1,37053620.5952,0.0532261071019626,0.0682417738485163
18501,2830.02336,2,37053633.2032,0.0204031635288792,0.030782715983632
18502,2830.035872,1,37053645.6704,0.0531462200090539,0.0681250499294331
18503,2830.048352,2,37053658.1632,0.0204417756237851,0.0307325646419727
18504,2830.060864,1,37053670.4896,0.0532780337123532,0.0681987235817822
18505,2830.073344,2,37053683.1488,0.0204985842231868,0.0307875979726431
18506,2830.085856,1,37053695.4752,0.0532975616683976,0.0681725383679955
18507,2830.098368,2,37053708.2112,0.0204666293860233,0.0306855200205931
18508,2830.11088,1,37053720.6144,0.0532549552188463,0.06822979078458
18509,2830.12336,2,37053733.0048,0.0204049387976105,0.0306065205620501
18510,2830.135872,1,37053745.5616,0.053260724842223,0.0682089313769872
18511,2830.148352,2,37053758.1056,0.0204315678285801,0.0306864076549588
18512,2830.160864,1,37053770.5856,0.0532647191968684,0.0682413300313335
18513,2830.173344,2,37053783.1552,0.0203636637996077,0.030803131574042
18514,2830.185856,1,37053795.4688,0.0532860224216441,0.0682382233110537
18515,2830.198368,2,37053807.9488,0.0203556750903168,0.0309837651674522
18516,2830.210848,1,37053820.7104,0.0532802527982673,0.0682280155158487
18517,2830.22336,2,37053832.9984,0.0202513780523527,0.0310401299496711
18518,2830.235872,1,37053845.6064,0.0532562866703947,0.068232453687677
18519,2830.248352,2,37053858.2016,0.0202917654159898,0.0312855608517739
18520,2830.260864,1,37053870.6816,0.0532917920450208,0.0682613018045607
18521,2830.273344,2,37053883.1616,0.0202491589664385,0.0314732955201094
18522,2830.285856,1,37053895.5136,0.0532620562937715,0.0682368918595052
18523,2830.298368,2,37053908.0832,0.0202238613870175,0.0314719640685609
18524,2830.310848,1,37053920.64,0.0533157581728934,0.0682515378265385
18525,2830.32336,2,37053933.1968,0.0201803673031005,0.031538092828802
18526,2830.335872,1,37053945.4976,0.0532793651639017,0.0681854090662974
18527,2830.348352,2,37053958.1184,0.0203973939055024,0.031466638262367
